"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045780","GO:0045780","positive regulation of bone resorption","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"SPP1",1
"GO:0046598","GO:0046598","positive regulation of viral entry into host cell","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"CD74",1
"GO:0046643","GO:0046643","regulation of gamma-delta T cell activation","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"PTPRC",1
"GO:0048566","GO:0048566","embryonic digestive tract development","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"ID2",1
"GO:0050746","GO:0050746","regulation of lipoprotein metabolic process","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"ULK1",1
"GO:0051444","GO:0051444","negative regulation of ubiquitin-protein transferase activity","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"ABL1",1
"GO:0051549","GO:0051549","positive regulation of keratinocyte migration","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"HBEGF",1
"GO:0051987","GO:0051987","positive regulation of attachment of spindle microtubules to kinetochore","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"BIRC5",1
"GO:0060008","GO:0060008","Sertoli cell differentiation","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"SDC1",1
"GO:0060263","GO:0060263","regulation of respiratory burst","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"SLAMF8",1
"GO:0061049","GO:0061049","cell growth involved in cardiac muscle cell development","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"EDN1",1
"GO:0061318","GO:0061318","renal filtration cell differentiation","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"JAG1",1
"GO:0071044","GO:0071044","histone mRNA catabolic process","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"ATM",1
"GO:0071071","GO:0071071","regulation of phospholipid biosynthetic process","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"CHP1",1
"GO:0071318","GO:0071318","cellular response to ATP","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"P2RY2",1
"GO:0071350","GO:0071350","cellular response to interleukin-15","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"JAK3",1
"GO:0071391","GO:0071391","cellular response to estrogen stimulus","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"SFRP1",1
"GO:0071639","GO:0071639","positive regulation of monocyte chemotactic protein-1 production","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"CD84",1
"GO:0072111","GO:0072111","cell proliferation involved in kidney development","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"PDGFRB",1
"GO:0072112","GO:0072112","podocyte differentiation","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"JAG1",1
"GO:0072311","GO:0072311","glomerular epithelial cell differentiation","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"JAG1",1
"GO:0072537","GO:0072537","fibroblast activation","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"ZEB2",1
"GO:0075294","GO:0075294","positive regulation by symbiont of entry into host","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"CD74",1
"GO:0086103","GO:0086103","G protein-coupled receptor signaling pathway involved in heart process","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"EDN1",1
"GO:0090280","GO:0090280","positive regulation of calcium ion import","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"PDGFRB",1
"GO:0090713","GO:0090713","immunological memory process","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"FGL2",1
"GO:0097202","GO:0097202","activation of cysteine-type endopeptidase activity","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"LGMN",1
"GO:0097384","GO:0097384","cellular lipid biosynthetic process","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"LIPA",1
"GO:0097531","GO:0097531","mast cell migration","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"KITLG",1
"GO:0098543","GO:0098543","detection of other organism","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"TLR4",1
"GO:0110110","GO:0110110","positive regulation of animal organ morphogenesis","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"EDN1",1
"GO:0120316","GO:0120316","sperm flagellum assembly","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"TPGS1",1
"GO:0140719","GO:0140719","constitutive heterochromatin formation","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"SMCHD1",1
"GO:0150078","GO:0150078","positive regulation of neuroinflammatory response","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"LRRK2",1
"GO:0150079","GO:0150079","negative regulation of neuroinflammatory response","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"PTPRC",1
"GO:1901163","GO:1901163","regulation of trophoblast cell migration","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"GJA1",1
"GO:1901663","GO:1901663","quinone biosynthetic process","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"COQ9",1
"GO:1902033","GO:1902033","regulation of hematopoietic stem cell proliferation","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"KITLG",1
"GO:1903265","GO:1903265","positive regulation of tumor necrosis factor-mediated signaling pathway","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"LAPTM5",1
"GO:1903672","GO:1903672","positive regulation of sprouting angiogenesis","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"TJP1",1
"GO:1903789","GO:1903789","regulation of amino acid transmembrane transport","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"SLC7A5",1
"GO:1903798","GO:1903798","regulation of miRNA processing","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"TP53",1
"GO:1904177","GO:1904177","regulation of adipose tissue development","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"SPI1",1
"GO:1904666","GO:1904666","regulation of ubiquitin protein ligase activity","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"CDC20",1
"GO:1904923","GO:1904923","regulation of autophagy of mitochondrion in response to mitochondrial depolarization","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"OPTN",1
"GO:1905671","GO:1905671","regulation of lysosome organization","1/577","11/9364",0.503403329545798,0.865500461324354,0.775147720208144,"LAPTM4B",1
"GO:0090087","GO:0090087","regulation of peptide transport","6/577","92/9364",0.503900045826289,0.865992730113154,0.775588599267625,"CD38/CD74/F2RL1/S100A8/SFRP1/SYT7",6
"GO:0006650","GO:0006650","glycerophospholipid metabolic process","13/577","206/9364",0.506128091429307,0.869458774759193,0.778692810906525,"ABHD12/AGPAT4/AJUBA/ATM/IMPA2/INPP4A/MBOAT2/PDGFRB/PIK3C2A/PLA2G7/PLCD1/PLEK/SYNJ2",13
"GO:0006813","GO:0006813","potassium ion transport","5/577","76/9364",0.506765079003752,0.869464387319484,0.778697837551233,"CD63/CHP1/KCNJ15/KCNK1/SLC9A9",5
"GO:0018107","GO:0018107","peptidyl-threonine phosphorylation","5/577","76/9364",0.506765079003752,0.869464387319484,0.778697837551233,"APP/CDC42BPG/CHI3L1/LRRK2/ULK1",5
"GO:2001251","GO:2001251","negative regulation of chromosome organization","5/577","76/9364",0.506765079003752,0.869464387319484,0.778697837551233,"ATM/BIRC5/CDC20/SMG6/ZWINT",5
"GO:0005976","GO:0005976","polysaccharide metabolic process","4/577","60/9364",0.51032288417689,0.869847605628551,0.779041050307193,"HAS3/PPP1CB/PPP1R2B/PYGB",4
"GO:0006360","GO:0006360","transcription by RNA polymerase I","4/577","60/9364",0.51032288417689,0.869847605628551,0.779041050307193,"BNC1/CAVIN1/ERCC6/POLR1A",4
"GO:0007269","GO:0007269","neurotransmitter secretion","4/577","60/9364",0.51032288417689,0.869847605628551,0.779041050307193,"LRRK2/PNKD/SNAP23/SYT7",4
"GO:0099643","GO:0099643","signal release from synapse","4/577","60/9364",0.51032288417689,0.869847605628551,0.779041050307193,"LRRK2/PNKD/SNAP23/SYT7",4
"GO:0007346","GO:0007346","regulation of mitotic cell cycle","22/577","353/9364",0.510413477220395,0.869847605628551,0.779041050307193,"ABL1/AFAP1L2/ANLN/APP/ATM/BIRC5/CDC20/EDN1/EGFR/FOXC1/ID2/LGMN/MUC1/NABP2/PDGFRB/PKMYT1/RBBP8/TGFA/TMOD3/TP53/UBD/ZWINT",22
"GO:0031503","GO:0031503","protein-containing complex localization","7/577","109/9364",0.511380067801594,0.869847605628551,0.779041050307193,"ATM/BIRC5/KLHL21/LMNA/STX7/TNFAIP2/TYROBP",7
"GO:0043393","GO:0043393","regulation of protein binding","7/577","109/9364",0.511380067801594,0.869847605628551,0.779041050307193,"ABL1/APP/B2M/CSNK1E/LRRK2/PTPRF/SLPI",7
"GO:0021537","GO:0021537","telencephalon development","10/577","158/9364",0.512370616208706,0.869847605628551,0.779041050307193,"ADGRG1/ANXA3/COL3A1/DAB2IP/EGFR/ID2/LRRK2/SLC2A1/TSKU/TUBB2A",10
"GO:0044282","GO:0044282","small molecule catabolic process","13/577","207/9364",0.513323165900769,0.869847605628551,0.779041050307193,"APOBEC3F/CYP27A1/DERA/HEXA/HK3/HNMT/LPIN2/NAGK/OAT/PNKD/TP53/TPI1/UPP1",13
"GO:0016064","GO:0016064","immunoglobulin mediated immune response","6/577","93/9364",0.514597364294066,0.869847605628551,0.779041050307193,"CD74/FCER1G/IL4R/PTPRC/SERPING1/TLR8",6
"GO:0032412","GO:0032412","regulation of monoatomic ion transmembrane transporter activity","6/577","93/9364",0.514597364294066,0.869847605628551,0.779041050307193,"AHNAK/APP/CHP1/CTSS/EDN1/SLMAP",6
"GO:0005977","GO:0005977","glycogen metabolic process","3/577","44/9364",0.515038177038734,0.869847605628551,0.779041050307193,"PPP1CB/PPP1R2B/PYGB",3
"GO:0008589","GO:0008589","regulation of smoothened signaling pathway","3/577","44/9364",0.515038177038734,0.869847605628551,0.779041050307193,"DLG5/EVC/SFRP1",3
"GO:0016079","GO:0016079","synaptic vesicle exocytosis","3/577","44/9364",0.515038177038734,0.869847605628551,0.779041050307193,"LRRK2/SNAP23/SYT7",3
"GO:0038066","GO:0038066","p38MAPK cascade","3/577","44/9364",0.515038177038734,0.869847605628551,0.779041050307193,"DAB2IP/GADD45A/SPI1",3
"GO:0055092","GO:0055092","sterol homeostasis","3/577","44/9364",0.515038177038734,0.869847605628551,0.779041050307193,"EHD1/MALL/TSKU",3
"GO:1990874","GO:1990874","vascular associated smooth muscle cell proliferation","3/577","44/9364",0.515038177038734,0.869847605628551,0.779041050307193,"EDN1/GJA1/MMP2",3
"GO:0060627","GO:0060627","regulation of vesicle-mediated transport","21/577","338/9364",0.517561729644955,0.869847605628551,0.779041050307193,"ABL1/ACTG1/ARHGAP8/B2M/CCDC32/CCL19/CD63/CD84/CSK/EHD1/F2RL1/FCER1G/IL4R/ITGA2/LRRK2/PTPRC/RAB3D/S100A10/SDC1/SPI1/SYT7",21
"GO:0071478","GO:0071478","cellular response to radiation","8/577","126/9364",0.517832266148555,0.869847605628551,0.779041050307193,"ATM/GADD45A/ITGB6/MAPK13/MME/MMP2/SFRP1/TP53",8
"GO:0042327","GO:0042327","positive regulation of phosphorylation","26/577","420/9364",0.520426025124998,0.869847605628551,0.779041050307193,"ABL1/APP/ARHGEF5/BIRC5/BTBD10/CCL19/CCR7/CD74/CHI3L1/DAB2IP/EDN1/EGFR/FGFR3/HBEGF/ITGA6/KITLG/LRRK2/PDGFC/PDGFRB/PTK2/PTK6/PTPRC/TESK1/TGFA/TLR4/TP53",26
"GO:0007041","GO:0007041","lysosomal transport","7/577","110/9364",0.521200144193641,0.869847605628551,0.779041050307193,"GCC2/KIF13A/LAPTM5/LIPA/LRRK2/M6PR/PSAP",7
"GO:0000423","GO:0000423","mitophagy","2/577","28/9364",0.521987907010863,0.869847605628551,0.779041050307193,"OPTN/TP53",2
"GO:0030851","GO:0030851","granulocyte differentiation","2/577","28/9364",0.521987907010863,0.869847605628551,0.779041050307193,"EVI2B/SPI1",2
"GO:0030857","GO:0030857","negative regulation of epithelial cell differentiation","2/577","28/9364",0.521987907010863,0.869847605628551,0.779041050307193,"FST/JAG1",2
"GO:0032205","GO:0032205","negative regulation of telomere maintenance","2/577","28/9364",0.521987907010863,0.869847605628551,0.779041050307193,"ATM/SMG6",2
"GO:0033003","GO:0033003","regulation of mast cell activation","2/577","28/9364",0.521987907010863,0.869847605628551,0.779041050307193,"CD84/IL4R",2
"GO:0044319","GO:0044319","wound healing, spreading of cells","2/577","28/9364",0.521987907010863,0.869847605628551,0.779041050307193,"AJUBA/HBEGF",2
"GO:0048821","GO:0048821","erythrocyte development","2/577","28/9364",0.521987907010863,0.869847605628551,0.779041050307193,"BPGM/TMOD3",2
"GO:0051085","GO:0051085","chaperone cofactor-dependent protein refolding","2/577","28/9364",0.521987907010863,0.869847605628551,0.779041050307193,"CD74/HSPH1",2
"GO:0055008","GO:0055008","cardiac muscle tissue morphogenesis","2/577","28/9364",0.521987907010863,0.869847605628551,0.779041050307193,"DSP/FOXC1",2
"GO:0060711","GO:0060711","labyrinthine layer development","2/577","28/9364",0.521987907010863,0.869847605628551,0.779041050307193,"SPINT1/SPINT2",2
"GO:0061005","GO:0061005","cell differentiation involved in kidney development","2/577","28/9364",0.521987907010863,0.869847605628551,0.779041050307193,"JAG1/MTSS1",2
"GO:0070229","GO:0070229","negative regulation of lymphocyte apoptotic process","2/577","28/9364",0.521987907010863,0.869847605628551,0.779041050307193,"CD74/JAK3",2
"GO:0070670","GO:0070670","response to interleukin-4","2/577","28/9364",0.521987907010863,0.869847605628551,0.779041050307193,"IL4R/JAK3",2
"GO:0072528","GO:0072528","pyrimidine-containing compound biosynthetic process","2/577","28/9364",0.521987907010863,0.869847605628551,0.779041050307193,"SLC19A2/UPP1",2
"GO:0090504","GO:0090504","epiboly","2/577","28/9364",0.521987907010863,0.869847605628551,0.779041050307193,"AJUBA/HBEGF",2
"GO:0090505","GO:0090505","epiboly involved in wound healing","2/577","28/9364",0.521987907010863,0.869847605628551,0.779041050307193,"AJUBA/HBEGF",2
"GO:1904407","GO:1904407","positive regulation of nitric oxide metabolic process","2/577","28/9364",0.521987907010863,0.869847605628551,0.779041050307193,"EDN1/TLR4",2
"GO:2000677","GO:2000677","regulation of transcription regulatory region DNA binding","2/577","28/9364",0.521987907010863,0.869847605628551,0.779041050307193,"FOXC1/NIBAN2",2
"GO:0007033","GO:0007033","vacuole organization","12/577","192/9364",0.522951004195083,0.869847605628551,0.779041050307193,"ATG7/ATP6AP1/EFNB1/HEXA/LAPTM4B/LAPTM5/LIPA/LRRK2/MOAP1/SYT7/TPP1/ULK1",12
"GO:0044344","GO:0044344","cellular response to fibroblast growth factor stimulus","4/577","61/9364",0.523512553731256,0.869847605628551,0.779041050307193,"FGFR3/GALNT3/POSTN/SFRP1",4
"GO:0048593","GO:0048593","camera-type eye morphogenesis","4/577","61/9364",0.523512553731256,0.869847605628551,0.779041050307193,"JAG1/NECTIN1/TFAP2A/TSKU",4
"GO:1901873","GO:1901873","regulation of post-translational protein modification","14/577","225/9364",0.525128262201138,0.869847605628551,0.779041050307193,"ABL1/BEX4/BIRC3/CDC20/CHP1/ERCC6/FBXO2/LAPTM5/LRRK2/NXN/PIAS3/SH3RF2/SKP2/USP4",14
"GO:0019724","GO:0019724","B cell mediated immunity","6/577","94/9364",0.525206203651739,0.869847605628551,0.779041050307193,"CD74/FCER1G/IL4R/PTPRC/SERPING1/TLR8",6
"GO:2000060","GO:2000060","positive regulation of ubiquitin-dependent protein catabolic process","6/577","94/9364",0.525206203651739,0.869847605628551,0.779041050307193,"CDC20/CSNK1E/LAPTM5/LRRK2/PTK2/SH3RF2",6
"GO:0140694","GO:0140694","non-membrane-bounded organelle assembly","18/577","291/9364",0.529020880341664,0.869847605628551,0.779041050307193,"ACTG1/ANLN/ARHGEF5/BIRC5/CDC20/DDX6/EDN1/KIF23/LCP1/NIP7/PDGFRB/PLEC/PLK4/PRC1/RC3H1/RPL6/SMC1A/TMOD3",18
"GO:0006090","GO:0006090","pyruvate metabolic process","5/577","78/9364",0.530140872423283,0.869847605628551,0.779041050307193,"APP/BPGM/HK3/LIPA/TPI1",5
"GO:0006836","GO:0006836","neurotransmitter transport","5/577","78/9364",0.530140872423283,0.869847605628551,0.779041050307193,"LRRK2/PNKD/SLC6A8/SNAP23/SYT7",5
"GO:1901988","GO:1901988","negative regulation of cell cycle phase transition","12/577","193/9364",0.530367274915883,0.869847605628551,0.779041050307193,"APBB2/ATM/BIRC5/CDC20/ERCC6/MUC1/NABP2/PKMYT1/RBBP8/SOX2/TP53/ZWINT",12
"GO:0044042","GO:0044042","glucan metabolic process","3/577","45/9364",0.530386709420293,0.869847605628551,0.779041050307193,"PPP1CB/PPP1R2B/PYGB",3
"GO:0051591","GO:0051591","response to cAMP","3/577","45/9364",0.530386709420293,0.869847605628551,0.779041050307193,"CYP1B1/FOSL1/SDC1",3
"GO:0051963","GO:0051963","regulation of synapse assembly","3/577","45/9364",0.530386709420293,0.869847605628551,0.779041050307193,"APP/DLG5/NECTIN1",3
"GO:1903078","GO:1903078","positive regulation of protein localization to plasma membrane","3/577","45/9364",0.530386709420293,0.869847605628551,0.779041050307193,"EGFR/ITGA3/PRKCH",3
"GO:2001238","GO:2001238","positive regulation of extrinsic apoptotic signaling pathway","3/577","45/9364",0.530386709420293,0.869847605628551,0.779041050307193,"PTPRC/SFRP1/TLR4",3
"GO:0000244","GO:0000244","spliceosomal tri-snRNP complex assembly","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"USP4",1
"GO:0000463","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"RPL7",1
"GO:0002903","GO:0002903","negative regulation of B cell apoptotic process","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"CD74",1
"GO:0003091","GO:0003091","renal water homeostasis","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"ADCY6",1
"GO:0003299","GO:0003299","muscle hypertrophy in response to stress","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"LMNA",1
"GO:0006044","GO:0006044","N-acetylglucosamine metabolic process","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"NAGK",1
"GO:0006177","GO:0006177","GMP biosynthetic process","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"ADK",1
"GO:0006743","GO:0006743","ubiquinone metabolic process","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"COQ9",1
"GO:0007096","GO:0007096","regulation of exit from mitosis","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"ANLN",1
"GO:0007250","GO:0007250","activation of NF-kappaB-inducing kinase activity","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"CHI3L1",1
"GO:0008090","GO:0008090","retrograde axonal transport","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"DST",1
"GO:0008209","GO:0008209","androgen metabolic process","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"SPP1",1
"GO:0008210","GO:0008210","estrogen metabolic process","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"CYP1B1",1
"GO:0009129","GO:0009129","pyrimidine nucleoside monophosphate metabolic process","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"UPP1",1
"GO:0009151","GO:0009151","purine deoxyribonucleotide metabolic process","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"ADK",1
"GO:0009263","GO:0009263","deoxyribonucleotide biosynthetic process","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"ADK",1
"GO:0009265","GO:0009265","2'-deoxyribonucleotide biosynthetic process","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"ADK",1
"GO:0010225","GO:0010225","response to UV-C","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"TP53",1
"GO:0014046","GO:0014046","dopamine secretion","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"SYT7",1
"GO:0014887","GO:0014887","cardiac muscle adaptation","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"LMNA",1
"GO:0014898","GO:0014898","cardiac muscle hypertrophy in response to stress","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"LMNA",1
"GO:0019400","GO:0019400","alditol metabolic process","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"TPI1",1
"GO:0032967","GO:0032967","positive regulation of collagen biosynthetic process","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"ITGA2",1
"GO:0033194","GO:0033194","response to hydroperoxide","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"CD38",1
"GO:0034333","GO:0034333","adherens junction assembly","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"DLG5",1
"GO:0035089","GO:0035089","establishment of apical/basal cell polarity","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"PTK7",1
"GO:0035268","GO:0035268","protein mannosylation","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"DPY19L4",1
"GO:0036151","GO:0036151","phosphatidylcholine acyl-chain remodeling","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"MBOAT2",1
"GO:0038065","GO:0038065","collagen-activated signaling pathway","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"ITGA2",1
"GO:0040020","GO:0040020","regulation of meiotic nuclear division","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"CDC20",1
"GO:0042407","GO:0042407","cristae formation","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"OMA1",1
"GO:0042559","GO:0042559","pteridine-containing compound biosynthetic process","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"SPR",1
"GO:0042572","GO:0042572","retinol metabolic process","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"CYP1B1",1
"GO:0043517","GO:0043517","positive regulation of DNA damage response, signal transduction by p53 class mediator","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"ATM",1
"GO:0043922","GO:0043922","negative regulation by host of viral transcription","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"PSMC3",1
"GO:0043967","GO:0043967","histone H4 acetylation","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"MORF4L2",1
"GO:0044030","GO:0044030","regulation of DNA methylation","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"MPHOSPH8",1
"GO:0044321","GO:0044321","response to leptin","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"EDN1",1
"GO:0045842","GO:0045842","positive regulation of mitotic metaphase/anaphase transition","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"CDC20",1
"GO:0046385","GO:0046385","deoxyribose phosphate biosynthetic process","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"ADK",1
"GO:0046717","GO:0046717","acid secretion","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"SNX10",1
"GO:0048499","GO:0048499","synaptic vesicle membrane organization","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"SNAP23",1
"GO:0048745","GO:0048745","smooth muscle tissue development","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"COL3A1",1
"GO:0051547","GO:0051547","regulation of keratinocyte migration","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"HBEGF",1
"GO:0055023","GO:0055023","positive regulation of cardiac muscle tissue growth","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"EDN1",1
"GO:0060037","GO:0060037","pharyngeal system development","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"EDN1",1
"GO:0060148","GO:0060148","positive regulation of post-transcriptional gene silencing","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"AJUBA",1
"GO:0060216","GO:0060216","definitive hemopoiesis","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"ADAR",1
"GO:0060546","GO:0060546","negative regulation of necroptotic process","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"BIRC3",1
"GO:0060576","GO:0060576","intestinal epithelial cell development","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"KLF5",1
"GO:0060977","GO:0060977","coronary vasculature morphogenesis","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"PDGFRB",1
"GO:0070200","GO:0070200","establishment of protein localization to telomere","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"NABP2",1
"GO:0070234","GO:0070234","positive regulation of T cell apoptotic process","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"TP53",1
"GO:0070314","GO:0070314","G1 to G0 transition","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"TP53",1
"GO:0070672","GO:0070672","response to interleukin-15","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"JAK3",1
"GO:0070920","GO:0070920","regulation of regulatory ncRNA processing","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"TP53",1
"GO:0072540","GO:0072540","T-helper 17 cell lineage commitment","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"LY9",1
"GO:0072683","GO:0072683","T cell extravasation","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"ICAM1",1
"GO:0090385","GO:0090385","phagosome-lysosome fusion","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"SYT7",1
"GO:0097401","GO:0097401","synaptic vesicle lumen acidification","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"ATP6AP1",1
"GO:0099171","GO:0099171","presynaptic modulation of chemical synaptic transmission","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"GIPC1",1
"GO:0099174","GO:0099174","regulation of presynapse organization","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"APP",1
"GO:1900103","GO:1900103","positive regulation of endoplasmic reticulum unfolded protein response","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"DAB2IP",1
"GO:1900370","GO:1900370","positive regulation of post-transcriptional gene silencing by RNA","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"AJUBA",1
"GO:1901863","GO:1901863","positive regulation of muscle tissue development","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"NIBAN2",1
"GO:1902043","GO:1902043","positive regulation of extrinsic apoptotic signaling pathway via death domain receptors","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"SFRP1",1
"GO:1902101","GO:1902101","positive regulation of metaphase/anaphase transition of cell cycle","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"CDC20",1
"GO:1902902","GO:1902902","negative regulation of autophagosome assembly","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"LRRK2",1
"GO:1902931","GO:1902931","negative regulation of alcohol biosynthetic process","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"PLEK",1
"GO:1903894","GO:1903894","regulation of IRE1-mediated unfolded protein response","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"DAB2IP",1
"GO:1905606","GO:1905606","regulation of presynapse assembly","1/577","12/9364",0.534039091210726,0.869847605628551,0.779041050307193,"APP",1
